1,Women's Pennant F,26977290,Southern United Hockey Club,MBN,Southern United Hockey Club,Camberwell Hockey Club,4,0,Home Win,14,12,
1,Men's Metro B South,26977380,Southern United Hockey Club,MBN,Southern United Hockey Club,OHA Hockey Club,2,1,Home Win,11,15,
1,Men's Vic League 3,26977200,Melton Hockey Ground,MEL,Caroline Springs Hockey Club,WestVic Hockey,4,2,Home Win,16,15,
1,Men's Metro B North West,26977110,Melton Hockey Ground,MEL,Caroline Springs Hockey Club,Footscray Hockey Club,3,1,Home Win,13,14,
1,Women's Metro B North West,26977290,Melton Hockey Ground,MEL,Caroline Springs Hockey Club,Essendon Hockey (Red),3,0,Home Win,13,13,
1,Women's Vic League 1,26977200,Monash University,MON,Monash University Hockey Club,PEGS Hockey Club,5,1,Home Win,16,14,
1,Women's Vic League 1 Reserves,26977110,Monash University,MON,Monash University Hockey Club,PEGS Hockey Club,5,0,Home Win,16,14,
1,Women's Pennant E,26977290,Monash University,MON,Monash University Hockey Club,Melbourne Razorbacks Hockey Club,3,0,Home Win,16,12,
1,Men's Metro A,26977110,PEGS Sporting Fields,PSF1,PEGS Hockey Club,Monash University Hockey Club,3,1,Home Win,14,11,
1,Men's Metro B North West,26977110,PEGS Sporting Fields,PSF2,PEGS Hockey Club,Melton Hockey Club,0,4,Away Win,13,12,
1,Women's Metro B North West,26977200,PEGS Sporting Fields,PSF1,PEGS Hockey Club,RMIT Hockey Club,0,4,Away Win,13,13,
1,Men's Vic League 1,26977200,Werribee Hockey Club,WER,Werribee Hockey Club,Monash University Hockey Club,1,2,Away Win,14,15,
1,Men's Vic League 1 Reserves,26977110,Werribee Hockey Club,WER,Werribee Hockey Club,Monash University Hockey Club,3,1,Home Win,14,16,
1,Men's Pennant F,26977290,Werribee Hockey Club,WER,Werribee Hockey Club,Toorak East Malvern Hockey Club,1,5,Away Win,13,14,
1,Women's Metro B North West,26977380,Werribee Hockey Club,WER,Werribee Hockey Club,Essendon Hockey (Black),1,0,Home Win,12,14,
1,GAME Clothing Women's Premier League,26977200,Hawthorn Malvern Hockey Centre,H-1,Hawthorn Hockey Club,Greensborough Hockey Club,5,1,Home Win,14,14,
1,GAME Clothing Men's Premier League,26977290,Hawthorn Malvern Hockey Centre,H-1,Hawthorn Hockey Club,Greensborough Hockey Club,2,3,Away Win,14,15,
1,GAME Clothing Women's Premier League Reserves,26977110,Hawthorn Malvern Hockey Centre,H-1,Hawthorn Hockey Club,Greensborough Hockey Club,3,1,Home Win,12,13,
1,GAME Clothing Men's Premier League Reserves,26977380,Hawthorn Malvern Hockey Centre,H-1,Hawthorn Hockey Club,Greensborough Hockey Club,0,5,Away Win,14,15,
1,Women's Pennant D,26977290,Hawthorn Malvern Hockey Centre,H-2,Hawthorn Hockey Club,Camberwell Hockey Club,0,3,Away Win,14,15,
1,Women's Vic League 2,26977200,Bellbird Park,DRO,Gippsland Bulls,WestVic Hockey,0,1,Away Win,1,15,
1,Women's Vic League 2,26977110,Hume Hockey Centre,HUM,Craigieburn Falcons Hockey Club,Melbourne High School Old Boys Hockey Club,2,6,Away Win,15,14,
1,Men's Vic League 2,26977200,Hume Hockey Centre,HUM,Craigieburn Falcons Hockey Club,Melbourne High School Old Boys Hockey Club,0,1,Away Win,16,13,
1,Men's Vic League 2 Reserves,26977290,Hume Hockey Centre,HUM,Craigieburn Falcons Hockey Club,Melbourne High School Old Boys Hockey Club,4,4,Draw,15,4,
1,Men's Pennant G,26977380,Hume Hockey Centre,HUM,Craigieburn Falcons Hockey Club,Toorak East Malvern Hockey Club,1,4,Away Win,16,13,
1,Men's Metro B North West,26977470,Hume Hockey Centre,HUM,Craigieburn Falcons Hockey Club,RMIT Hockey Club,2,3,Away Win,16,13,
1,Men's Pennant B,26977200,Melbourne University Hockey Ground,MUH,Melbourne University Hockey Club,Doncaster Hockey Club,2,1,Home Win,15,13,
1,Men's Pennant D,26977290,Melbourne University Hockey Ground,MUH,Melbourne University Hockey Club,Footscray Hockey Club,7,0,Home Win,15,14,
1,Men's Vic League 3,26977290,Elwood,ELW,Glen Eira Hockey Club,Latrobe Valley Hockey Association,0,6,Away Win,15,13,
1,Men's Metro B South East,26977200,Elwood,ELW,Glen Eira Hockey Club,Old Melburnians,2,0,Home Win,15,9,
1,Women's Metro B South,26977110,Elwood,ELW,Glen Eira Hockey Club,Casey Hockey Club,2,0,Home Win,11,13,
1,Men's Vic League 2,26978640,Melbourne Sports Centres Parkville,P-1,Melbourne Sikhs United HC,Frankston Hockey Club,4,2,Home Win,12,14,
1,Men's Vic League 2 Reserves,26978550,Melbourne Sports Centres Parkville,P-1,Melbourne Sikhs United HC,Frankston Hockey Club,6,2,Home Win,12,14,
1,GAME Clothing Women's Premier League,26978730,Essendon Hockey Centre,ESS1,Essendon Hockey,Mentone Hockey Club,0,2,Away Win,14,15,
1,GAME Clothing Men's Premier League,26978640,Essendon Hockey Centre,ESS1,Essendon Hockey,Brunswick Hockey Club,10,0,Home Win,14,16,
1,GAME Clothing Women's Premier League Reserves,26978820,Essendon Hockey Centre,ESS1,Essendon Hockey,Mentone Hockey Club,0,0,Draw,14,15,
1,Men's Vic League 1,26978640,Elgar Park,ELG,Old Xaverians Hockey Club,PEGS Hockey Club,4,3,Home Win,14,15,
1,Men's Vic League 1 Reserves,26978550,Elgar Park,ELG,Old Xaverians Hockey Club,PEGS Hockey Club,1,6,Away Win,13,14,
1,Men's Pennant C,26978730,Elgar Park,ELG,KBH Brumbies Hockey Club,Camberwell Hockey Club,2,3,Away Win,14,15,
1,Men's Metro B East,26978460,Elgar Park,ELG,Old Xaverians Hockey Club,Croydon Ranges Hockey Club,3,1,Home Win,12,12,
