Round 1,Men's Pennant D South East - 2023,16/04/2023,Brighton Secondary College,BTN,12:30,Bayside Cougars Hockey Club,Mentone Hockey Club,0,8,Away Win,12,14
Round 1,GAME Clothing Men's Premier League - 2023,15/04/2023,Camberwell Hockey Club,CAM,15:30,Camberwell Hockey Club,Toorak East Malvern Hockey Club,5,2,Home Win,15,15
Round 1,GAME Clothing Women's Premier League - 2023,15/04/2023,Camberwell Hockey Club,CAM,14:00,Camberwell Hockey Club,Toorak East Malvern Hockey Club,2,0,Home Win,15,14
Round 1,GAME Clothing Men's Premier League Reserves - 2023,15/04/2023,Camberwell Hockey Club,CAM,17:00,Camberwell Hockey Club,Toorak East Malvern Hockey Club,2,0,Home Win,14,14
Round 1,GAME Clothing Women's Premier League Reserves - 2023,15/04/2023,Camberwell Hockey Club,CAM,12:30,Camberwell Hockey Club,Toorak East Malvern Hockey Club,3,0,Home Win,15,13
Round 1,Men's Metro 2 East - 2023,16/04/2023,Camberwell Hockey Club,CAM,14:30,Camberwell Hockey Club,Greensborough Hockey Club,0,3,Away Win,16,12
Round 1,Men's Pennant C - 2023,16/04/2023,Camberwell Hockey Club,CAM,16:00,Camberwell Hockey Club,Melbourne University Hockey Club,2,0,Home Win,14,16
Round 1,Women's Pennant C - 2023,16/04/2023,Camberwell Hockey Club,CAM,13:00,Camberwell Hockey Club,Greensborough Hockey Club,3,1,Home Win,16,13
Round 1,Women's Pennant E South East - 2023,16/04/2023,Camberwell Hockey Club,CAM,11:30,Camberwell Hockey Club,Greater Dandenong Warriors Hockey Club,3,2,Home Win,16,11
Round 1,GAME Clothing Men's Premier League - 2023,15/04/2023,Doncaster Hockey Centre,DON,14:00,Doncaster Hockey Club,Mornington Peninsula Hockey Club,16,0,Home Win,15,16
Round 1,GAME Clothing Women's Premier League - 2023,15/04/2023,Doncaster Hockey Centre,DON,15:30,Doncaster Hockey Club,Powerhouse & St Kilda Hockey Club,0,1,Away Win,15,15
Round 1,GAME Clothing Men's Premier League Reserves - 2023,15/04/2023,Doncaster Hockey Centre,DON,12:30,Doncaster Hockey Club,Mornington Peninsula Hockey Club,12,0,Home Win,15,14
Round 1,GAME Clothing Women's Premier League Reserves - 2023,15/04/2023,Doncaster Hockey Centre,DON,17:00,Doncaster Hockey Club,Powerhouse & St Kilda Hockey Club,3,1,Home Win,14,14
Round 1,Men's Pennant A - 2023,16/04/2023,Doncaster Hockey Centre,DON,12:30,Doncaster Hockey Club,Hawthorn Hockey Club,4,1,Home Win,13,12
Round 1,Men's Pennant C - 2023,16/04/2023,Doncaster Hockey Centre,DON,14:00,Doncaster Hockey Club,Waverley Hockey Club,4,5,Away Win,13,13
Round 1,Men's Pennant E South East - 2023,16/04/2023,Doncaster Hockey Centre,DON,15:30,Doncaster Hockey Club,Croydon Ranges Hockey Club,0,3,Away Win,15,12
Round 1,GAME Clothing Men's Premier League - 2023,15/04/2023,Geelong Stead Park,GEL1,15:30,Hockey Geelong Sharks,Essendon Hockey,1,5,Away Win,15,14
Round 1,GAME Clothing Women's Premier League - 2023,15/04/2023,Geelong Stead Park,GEL1,14:00,Hockey Geelong Sharks,Essendon Hockey,1,3,Away Win,15,13
Round 1,GAME Clothing Men's Premier League Reserves - 2023,15/04/2023,Geelong Stead Park,GEL1,17:00,Hockey Geelong Sharks,Essendon Hockey,2,1,Home Win,13,12
Round 1,GAME Clothing Women's Premier League Reserves - 2023,15/04/2023,Geelong Stead Park,GEL1,12:30,Hockey Geelong Sharks,Essendon Hockey,0,6,Away Win,16,13
Round 1,Men's Metro 2 East - 2023,16/04/2023,La Trobe Hockey Centre,LAT,14:00,La Trobe University Hockey Club,Knox Hockey Club,11,0,Home Win,15,12
Round 1,Men's Metro 2 North West - 2023,16/04/2023,La Trobe Hockey Centre,LAT,12:30,La Trobe University Hockey Club,Craigieburn Falcons Hockey Club,4,5,Away Win,13,15
Round 1,Men's Pennant E North West - 2023,15/04/2023,La Trobe Hockey Centre,LAT,15:30,La Trobe University Hockey Club,Melton Hockey Club,2,0,Home Win,13,14
Round 1,Women's Metro 1 North West - 2023,15/04/2023,La Trobe Hockey Centre,LAT,14:00,La Trobe University Hockey Club,Melton Hockey Club,2,1,Home Win,14,11
Round 1,Women's Pennant D North West - 2023,15/04/2023,La Trobe Hockey Centre,LAT,12:30,La Trobe University Hockey Club,Caroline Springs Hockey Club,2,2,Draw,13,14
Round 1,GAME Clothing Men's Premier League - 2023,15/04/2023,Southern United Hockey Club,MBN,15:30,Southern United Hockey Club,KBH Brumbies Hockey Club,5,1,Home Win,16,15
Round 1,GAME Clothing Women's Premier League - 2023,15/04/2023,Southern United Hockey Club,MBN,14:00,Southern United Hockey Club,KBH Brumbies Hockey Club,5,1,Home Win,14,14
Round 1,GAME Clothing Men's Premier League Reserves - 2023,15/04/2023,Southern United Hockey Club,MBN,17:00,Southern United Hockey Club,KBH Brumbies Hockey Club,1,0,Home Win,15,15
Round 1,GAME Clothing Women's Premier League Reserves - 2023,15/04/2023,Southern United Hockey Club,MBN,12:30,Southern United Hockey Club,KBH Brumbies Hockey Club,2,2,Draw,14,15
Round 1,Men's Metro 2 South - 2023,16/04/2023,Southern United Hockey Club,MBN,11:00,Southern United Hockey Club,Casey Hockey Club,2,0,Home Win,13,14
Round 1,Men's Pennant A - 2023,16/04/2023,Southern United Hockey Club,MBN,17:00,Southern United Hockey Club,KBH Brumbies Hockey Club,5,5,Draw,14,13
Round 1,Men's Pennant C - 2023,16/04/2023,Southern United Hockey Club,MBN,15:30,Southern United Hockey Club,Greensborough Hockey Club,7,0,Home Win,13,15
