17,GAME Clothing Men's Premier League,27158730,Southern United Hockey Club,MBN,Southern United Hockey Club,Hawthorn Hockey Club
17,GAME Clothing Men's Premier League,27158640,Hawthorn Malvern Hockey Centre,H-1,Toorak East Malvern Hockey Club,Greensborough Hockey Club
17,GAME Clothing Men's Premier League,27160080,Albert Park,APK,Powerhouse & St Kilda Hockey Club,Waverley Hockey Club
18,GAME Clothing Men's Premier League,27168780,Melbourne Sports Centres Parkville,P-1,Melbourne University Hockey Club,Camberwell Hockey Club
18,GAME Clothing Men's Premier League,27168810,Greensborough Hockey Centre,GRN1,Greensborough Hockey Club,MCC Hockey Section
18,GAME Clothing Men's Premier League,27168720,Yarra Valley Hockey Centre,YAR,Yarra Valley Hockey Club,Toorak East Malvern Hockey Club
18,GAME Clothing Men's Premier League,27168810,Footscray Hockey Club,F-1,Footscray Hockey Club,Essendon Hockey
18,GAME Clothing Men's Premier League,27168720,Hedley Hull Field,HHF,Waverley Hockey Club,Southern United Hockey Club
18,GAME Clothing Men's Premier League,27168810,Brunswick Secondary College,BRU,Brunswick Hockey Club,Altona Hockey Club
18,GAME Clothing Men's Premier League,27168720,Doncaster Hockey Centre,DON,Doncaster Hockey Club,KBH Brumbies Hockey Club
18,GAME Clothing Men's Premier League,27168810,Hawthorn Malvern Hockey Centre,H-1,Hawthorn Hockey Club,Powerhouse & St Kilda Hockey Club
1,GAME Clothing Men's Premier League Reserves,26977350,Melbourne Sports Centres Parkville,P-1,Melbourne University Hockey Club,Altona Hockey Club
1,GAME Clothing Men's Premier League Reserves,26977380,Footscray Hockey Club,F-1,Footscray Hockey Club,KBH Brumbies Hockey Club
1,GAME Clothing Men's Premier League Reserves,26977110,Hedley Hull Field,HHF,Waverley Hockey Club,Yarra Valley Hockey Club
1,GAME Clothing Men's Premier League Reserves,26977110,Albert Park,APK,Powerhouse & St Kilda Hockey Club,Toorak East Malvern Hockey Club
1,GAME Clothing Men's Premier League Reserves,26977380,Camberwell Hockey Club,CAM,Camberwell Hockey Club,Doncaster Hockey Club
1,GAME Clothing Men's Premier League Reserves,26977380,Hawthorn Malvern Hockey Centre,H-1,Hawthorn Hockey Club,Greensborough Hockey Club
1,GAME Clothing Men's Premier League Reserves,26978550,Essendon Hockey Centre,ESS1,Essendon Hockey,Brunswick Hockey Club
1,GAME Clothing Men's Premier League Reserves,26978820,Southern United Hockey Club,MBN,Southern United Hockey Club,MCC Hockey Section
2,GAME Clothing Men's Premier League Reserves,26987460,Greensborough Hockey Centre,GRN1,Greensborough Hockey Club,Waverley Hockey Club
2,GAME Clothing Men's Premier League Reserves,26987460,Yarra Valley Hockey Centre,YAR,Yarra Valley Hockey Club,Hawthorn Hockey Club
2,GAME Clothing Men's Premier League Reserves,26987190,Melbourne High School,MHS,MCC Hockey Section,Powerhouse & St Kilda Hockey Club
2,GAME Clothing Men's Premier League Reserves,26987460,Altona Hockey Club,ALT,Altona Hockey Club,Footscray Hockey Club
2,GAME Clothing Men's Premier League Reserves,26987190,Brunswick Secondary College,BRU,Brunswick Hockey Club,Camberwell Hockey Club
2,GAME Clothing Men's Premier League Reserves,26987190,Hawthorn Malvern Hockey Centre,H-1,Toorak East Malvern Hockey Club,Southern United Hockey Club
2,GAME Clothing Men's Premier League Reserves,26988510,Essendon Hockey Centre,ESS2,Essendon Hockey,Doncaster Hockey Club
2,GAME Clothing Men's Premier League Reserves,26988900,Elgar Park,ELG,KBH Brumbies Hockey Club,Melbourne University Hockey Club
3,GAME Clothing Men's Premier League Reserves,26997270,Essendon Hockey Centre,ESS1,Essendon Hockey,Footscray Hockey Club
3,GAME Clothing Men's Premier League Reserves,26997360,Elgar Park,ELG,KBH Brumbies Hockey Club,Doncaster Hockey Club
3,GAME Clothing Men's Premier League Reserves,26997540,Melbourne High School,MHS,MCC Hockey Section,Greensborough Hockey Club
3,GAME Clothing Men's Premier League Reserves,26997540,Altona Hockey Club,ALT,Altona Hockey Club,Brunswick Hockey Club
3,GAME Clothing Men's Premier League Reserves,26997540,Albert Park,APK,Powerhouse & St Kilda Hockey Club,Hawthorn Hockey Club
3,GAME Clothing Men's Premier League Reserves,26997270,Camberwell Hockey Club,CAM,Camberwell Hockey Club,Melbourne University Hockey Club
3,GAME Clothing Men's Premier League Reserves,26997540,Southern United Hockey Club,MBN,Southern United Hockey Club,Waverley Hockey Club
3,GAME Clothing Men's Premier League Reserves,26998980,Hawthorn Malvern Hockey Centre,H-1,Toorak East Malvern Hockey Club,Yarra Valley Hockey Club
4,GAME Clothing Men's Premier League Reserves,27007590,Melbourne Sports Centres Parkville,P-1,Melbourne University Hockey Club,Essendon Hockey
4,GAME Clothing Men's Premier League Reserves,27007350,Greensborough Hockey Centre,GRN1,Greensborough Hockey Club,Toorak East Malvern Hockey Club
